สินค้า,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
#,รหัสสินค้า,ชื่อสินค้า,หมวดหมู่,หมวดหมู่ย่อย,หน่วยสินค้า,Barcode
1,TTLS198-XL,น้องโซบะ ขายาว(XL),กางเกงขายาว,,ชิ้น,TTLS198-XL
2,TTLS198-L,น้องโซบะ ขายาว(L),กางเกงขายาว,,ชิ้น,TTLS198-L
3,TTLS198-M,น้องโซบะ ขายาว(M),กางเกงขายาว,,ชิ้น,TTLS198-M
4,TTLS197-XL,น้องมิก้า ขายาว(XL),กางเกงขายาว,,ชิ้น,TTLS197-XL
5,TTLS197-L,น้องมิก้า ขายาว(L),กางเกงขายาว,,ชิ้น,TTLS197-L
6,TTLS197-M,น้องมิก้า ขายาว(M),กางเกงขายาว,,ชิ้น,TTLS197-M
7,TTLS196-XL,น้องชงฉี ขายาว(XL),กางเกงขายาว,,ชิ้น,TTLS196-XL
8,TTLS196-L,น้องชงฉี ขายาว(L),กางเกงขายาว,,ชิ้น,TTLS196-L
9,TTLS196-M,น้องชงฉี ขายาว(M),กางเกงขายาว,,ชิ้น,TTLS196-M
10,TTLS195-XL,น้องดาริน ขายาว(XL),กางเกงขายาว,,ชิ้น,TTLS195-XL
11,TTLS195-L,น้องดาริน ขายาว(L),กางเกงขายาว,,ชิ้น,TTLS195-L
12,TTLS195-M,น้องดาริน ขายาว(M),กางเกงขายาว,,ชิ้น,TTLS195-M
13,TTG167-3XL,น้องโซบะ(3XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size 3XL),,ชิ้น,TTG167-3XL
14,TTG167-XXL,น้องโซบะ(XXL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XXL),,ชิ้น,TTG167-XXL
15,TTG167-XL,น้องโซบะ(XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XL),,ชิ้น,TTG167-XL
16,TTG167-L,น้องโซบะ(L),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size L),,ชิ้น,TTG167-L
